Customer ID,Customer Since,City,State
1.0,2016-7,Khuzdar,Balochistan
2.0,2016-7,Sargodha,Punjab
3.0,2016-7,Shekhupura,Punjab
4.0,2016-7,Chakwal,Punjab
5.0,2016-7,Muridke,Punjab
6.0,2016-7,Khanpur,Punjab
7.0,2016-7,Dadu,Sindh
8.0,2016-7,Pakpattan,Punjab
9.0,2016-7,Jaranwala,Punjab
10.0,2016-7,Gujranwala,Punjab
11.0,2016-7,Khairpur,Sindh
12.0,2016-7,Dera Ismail Khan,Khyber-Pakhtunkhwa
13.0,2016-7,Chishtian,Punjab
14.0,2016-7,Khushab,Punjab
15.0,2016-7,Sargodha,Punjab
16.0,2016-7,Shekhupura,Punjab
17.0,2016-7,Abbottabad,Khyber-Pakhtunkhwa
18.0,2016-7,Daska,Punjab
19.0,2016-7,Kāmoke,Punjab
20.0,2016-7,Kot Adu,Punjab
21.0,2016-7,Kamalia,Punjab
22.0,2016-7,Sargodha,Punjab
23.0,2016-7,Kasur,Punjab
24.0,2016-7,Chishtian,Punjab
25.0,2016-7,Ahmadpur East,Punjab
26.0,2016-7,Dadu,Sindh
27.0,2016-7,Sukkur,Sindh
28.0,2016-7,Dera Ismail Khan,Khyber-Pakhtunkhwa
29.0,2016-7,Okara,Punjab
30.0,2016-7,Sargodha,Punjab
31.0,2016-7,Dera Ismail Khan,Khyber-Pakhtunkhwa
32.0,2016-7,Chakwal,Punjab
33.0,2016-7,Khuzdar,Balochistan
34.0,2016-7,Jaranwala,Punjab
35.0,2016-7,Quetta,Balochistan
36.0,2016-7,Multan,Punjab
37.0,2016-7,Gujrat,Punjab
38.0,2016-7,Jaranwala,Punjab
39.0,2016-7,Khushab,Punjab
40.0,2016-7,Chishtian,Punjab
41.0,2016-7,Khairpur,Sindh
42.0,2016-7,Dadu,Sindh
43.0,2016-7,Peshawar,Khyber-Pakhtunkhwa
44.0,2016-7,Sadiqabad,Punjab
45.0,2016-7,Gujrat,Punjab
46.0,2016-7,Khuzdar,Balochistan
47.0,2016-7,Vehari,Punjab
48.0,2016-7,Mardan,Khyber-Pakhtunkhwa
49.0,2016-7,Jhang,Punjab
50.0,2016-7,Sialkot,Punjab
51.0,2016-7,Kāmoke,Punjab
52.0,2016-7,Pakpattan,Punjab
53.0,2016-7,Faisalabad,Punjab
54.0,2016-7,Khairpur,Sindh
55.0,2016-7,Wazirabad,Punjab
56.0,2016-7,Nowshera,Khyber-Pakhtunkhwa
57.0,2016-7,Wah Cantonment,Punjab
58.0,2016-7,Okara,Punjab
59.0,2016-7,Gujranwala,Punjab
60.0,2016-7,Dera Ismail Khan,Khyber-Pakhtunkhwa
61.0,2016-7,Sargodha,Punjab
62.0,2016-7,Kamalia,Punjab
63.0,2016-7,Gojra,Punjab
64.0,2016-7,Sargodha,Punjab
65.0,2016-7,Hyderabad,Sindh
66.0,2016-7,Okara,Punjab
67.0,2016-7,Chaman,Balochistan
68.0,2016-7,Gujranwala,Punjab
69.0,2016-7,Khushab,Punjab
70.0,2016-7,Peshawar,Khyber-Pakhtunkhwa
71.0,2016-7,Taxila,Punjab
72.0,2016-7,Larkana,Sindh
73.0,2016-7,Faisalabad,Punjab
74.0,2016-7,Gujranwala,Punjab
75.0,2016-7,Nawabshah,Sindh
76.0,2016-7,Mirpur Khas,Sindh
77.0,2016-7,Mardan,Khyber-Pakhtunkhwa
