sku,category_name_1,price
kreations_YI 06-L,Women's Fashion,1950.0
kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,Beauty & Grooming,240.0
Ego_UP0017-999-MR0,Women's Fashion,2450.0
kcc_krone deal,Beauty & Grooming,360.0
BK7010400AG,Soghaat,555.0
UK_Namkino All In One 200 Gms,Soghaat,80.0
UK_Namkino Mix Nimco 400 Gms,Soghaat,170.0
Apple iPhone 6S 64GB,Mobiles & Tablets,96499.0
"GFC_Pedestal Myga Cross Base (Special Guard) 24""",Appliances,5500.0
BK1070200PL,Soghaat,210.0
BK1130200CF,Soghaat,156.0
kcc_Sultanat,Home & Living,120.0
kcc_glamour deal,Beauty & Grooming,320.0
Assetmen_MD-346-M,Men's Fashion,1550.0
cr_DATES WITH CASHEW-400 GM,Soghaat,420.0
UK_Gift Box Mix Dry Fruit Sweets 500 Gms,Soghaat,360.0
itter_AB 1199,Beauty & Grooming,490.0
RL_B005,Home & Living,899.25
bed&rest_S7,Home & Living,899.0
L&L_LLHLE8224S,Home & Living,320.0
J&J_JJR-4,Kids & Baby,149.0
J&J_JJR-20,Kids & Baby,149.0
D Lend a Helping Hand,\N,1000.0
Mochika_M0001112-12,Men's Fashion,1913.0
Mochika_M0001112-8,Men's Fashion,1913.0
SKMT_Blood Test,Others,500.0
SKMT_Medicine,Others,100.0
sputnik_701/5-11,Men's Fashion,1500.0
Ctees-Black Zip- Up Hoodie-XL,Kids & Baby,450.0
Samsung Galaxy J5,Mobiles & Tablets,20999.0
Veet_4,Beauty & Grooming,165.0
RS_Gulab jaman Tin,Soghaat,435.0
cr_PEANUT SALTY-200 GM,Soghaat,90.0
Oriflame_21557,Beauty & Grooming,850.0
JBS_TAT-128,Home & Living,3672.0
Ajmery_BRR-590-M,Men's Fashion,899.0
HOS_GUCFW75,Beauty & Grooming,7400.0
Lexon_LL116B-Blue,Mobiles & Tablets,3600.0
kcc_Fantasy Perfumed Talcum Powder-200gm,Beauty & Grooming,143.0
2Zee_SC6,Beauty & Grooming,225.0
Q MOBILE Noir X20,Mobiles & Tablets,4500.0
rehaab_RJ160047,Women's Fashion,3156.0
Farah_3-B,Women's Fashion,2996.0
RS_Sohan Halwa Tin,Soghaat,300.0
UK_Soan Papdi Original 250 Gms,Soghaat,150.0
UK_Gift Box Soghaat 500 Gms,Soghaat,465.0
RS_Double Delight,Soghaat,380.0
